,protocol,post_id,timestamp,title,description
0,sushi,sushi--Qmbh9K9F3xtHBXoScfk6m6hiFRsGBM4D8GZWbvdGJPaA6z,2020-08-30 16:29:59+00:00,SIP-1 (The right one): Adjust Reward Weight for SUSHI-ETH LP Pool,"## SIP-1: Adjust Reward Weight for SUSHI-ETH LP Pool

A number of community members have suggested that we should adjust reward weight (currently 2x) for the SUSHI-ETH LP Pool. What should the weight be?

SUSHI-ETH LP stakers are the ones with highest skin in the game. They are providing liquidity to $SUSHI token and should be rewarded properly. They are also most likely the first pool to migrate from Uniswap to SushiSwap. Increasing the weights incentivizes people to stay in the pool for long run.

Increasing the value too high will naturally make rewards on other LP pools lower (because the total number of $SUSHI minted is limited). This is not good because liquidity and trading volumes are what matters for SushiSwap and $SUSHI tokens in long run.

Once the vote is done, Chef Nomi will take the weighted average value and implement the change by invoking MasterChef ""set"" function through the Timelock contract.

---
*Chef Nomi trusts you guys, so please vote responsibly and reasonably.*

> As a reminder, voting opens for 24 hours. Voting power is determined by SUSHI-ETH LP staked in the MasterChef contract at ~7-8 hours (2000 blocks) after the proposal is proposed. Once approved, Chef Nomi will be implementing the change through the Timelock contract. Changes submitted by Chef Nomi are always subjected to a 48-hour time delay."
1,sushi,sushi--QmNzRjiNUrUsteNFrc8BVXVQwB36cRE1H34pAgY1ivi8rh,2020-08-30 17:20:33+00:00, SIP-2: Adjust Reward Weight for USDT-ETH LP Pool ," ## SIP-2: (7-day vol: ~185M) Adjust Reward Weight for USDT-ETH LP Pool

USDT-ETH pool commands by far the highest trading volume on Uniswap , historically sometimes over 50% (see https://uniswap.info/pairs). They naturally have very high liquidity and that currently makes $SUSHI reward yield very low compared to other pools that do not command the same level of liquidity (see https://sushi.zippo.io/). Should we adjust the reward weights of USDT-ETH LP Pool to what value?

If you are not sure what to vote. Come discuss in our #governance discord channel - https://discord.gg/uSMaX2x

Once the vote is done, Chef Nomi will take the weighted average value and implement the change by invoking MasterChef ""set"" function through the Timelock contract.

---
*Chef Nomi trusts you guys, so please vote responsibly and reasonably.*

> As a reminder, voting opens for 24 hours. Voting power is determined by SUSHI-ETH LP staked in the MasterChef contract at ~7-8 hours (2000 blocks) after the proposal is proposed. Once approved, Chef Nomi will be implementing the change through the Timelock contract. Changes submitted by Chef Nomi are always subjected to a 48-hour time delay.
"
2,sushi,sushi--Qmam85UYWYi7ZRuP8FsNvHSczoNB1XPurQ9FKpnLg8GZ6n,2020-08-31 05:33:42+00:00,Reduce Scam Token/Projects,"We should set up a treasury dedicated to reward people that find scam tokens and bugs in codes. We should also have pending projects before they are added to provide liquidity too.

Basically :

Person adds token/project, it gets put into a pending list before being voted on. Community members can self audit it or we can have official auditors paid out in a % of fees from the treasury. Almost like a bug bounty program.   "
3,sushi,sushi--QmUvNBaW6xUyBRDqtUmR1Fsnnm9eioGHhHv6SZcYDhDJg3,2020-08-31 07:16:09+00:00,SIP-3: (7-day vol > ~100M) Adjust Reward Weight for YFI-ETH / USDC-ETH / DAI-ETH LP Pools,"## SIP-3: (7-day vol: ~150M / ~130M / ~100M) Adjust Reward Weight for YFI-ETH / USDC-ETH / DAI-ETH LP Pool

These pools command substantial trading volume on Uniswap. They naturally have very high liquidity and that currently makes $SUSHI reward yield very low compared to other pools that do not command the same level of liquidity / volume (see https://sushi.zippo.io/). Should we adjust the reward weights of these LP pools to what value?

It's very important for SushiSwap to compensate them reasonably. We need them to stay with us throughout and after the migration.

**It's important to keep in mind that higher reward for one pool barely affects the rewards of other pools. Do the math.**

If you are not sure what to vote. Come discuss in our #governance discord channel - https://discord.gg/uSMaX2x

Once the vote is done, Chef Nomi will take the weighted average value and implement the change by invoking MasterChef ""set"" function through the Timelock contract.

--
*Chef Nomi trusts you guys, so please vote responsibly and reasonably.*

> As a reminder, voting opens for 24 hours. Voting power is determined by SUSHI-ETH LP staked in the MasterChef contract at ~7-8 hours (2000 blocks) after the proposal is proposed. Once approved, Chef Nomi will be implementing the change through the Timelock contract. Changes submitted by Chef Nomi are always subjected to a 48-hour time delay.
"
4,sushi,sushi--QmaWmQFWXfRiWmAeM7aUny3mM7buJeAFinuq3n6Sx7e7U8,2020-08-31 12:27:41+00:00,Add LPT/ETH pool,"Add support for the LPT/ETH pool on Uniswap to Sushiswap 

https://uniswap.info/pair/0x755c1a8f71f4210cd7b60b9439451efcbeba33d1"
5,sushi,sushi--QmTNd5kqky9Bo8EYvSfAmWPVj3gZJEyfvNXWhDF2jmVfdJ,2020-08-31 12:36:37+00:00,Add Support for YFV/ETH LP ,YFV/ETH pair is $20m plus volume for last couple days. Let's bring those boys to get here to farm Sushi as well. Win Win for both community project. Their TVL is already about $400m. So let's vote guys.
6,sushi,sushi--QmNuZaLt4riJGPKb8XCHwqXvbBmHfrNyWkfB2hUwbSfPYP,2020-08-31 15:45:41+00:00, SIP-4: Add More LP Pools to SushiSwap," SIP-4: Add More LP Pools to SushiSwap #Qme74uo
Active

What LP pools should we added for farming and liquidity migration on SushiSwap? Here you can find the list of pools with somewhat reasonable 7 day trading volume. See here for more info https://uniswap.info/pairs. Top 5 by voting result will be added to SushiSwap with initial reward weight of 0.2x.

If you are not sure what to vote. Come discuss in our #governance discord channel - https://discord.gg/uSMaX2x

Once the vote is done, Chef Nomi will take the top 5 pools and implement the change by invoking MasterChef ""add"" function through the Timelock contract.

---
*Chef Nomi trusts you guys, so please vote responsibly and reasonably.*

> As a reminder, voting opens for 24 hours. Voting power is determined by SUSHI-ETH LP staked in the MasterChef contract at ~7-8 hours (2000 blocks) after the proposal is proposed. Once approved, Chef Nomi will be implementing the change through the Timelock contract. Changes submitted by Chef Nomi are always subjected to a 48-hour time delay.

"
7,sushi,sushi--QmfSJc1PgrQdASz2aXDjEGHHCeXSnwbvAKiiKQG4t42qob,2020-08-31 16:09:05+00:00,Adjust Reward Weight for LINK-ETH LP Pool,"LINK-ETH pool is one of the top LP's in Uniswap, but apart from it's size, most of it's capital comes from LINK MARINES, one of the most powerful, influential and engaging communities in the Defi Space.

Increasing the reward multiple for LINK-ETH LP will boost the LINK MARINES engagement in the $SUSHI project and will result in a lot of collateral benefits for the $SUSHI community mid-term.

Should we adjust the reward weights of LINK-ETH LP Pool to what value?"
8,sushi,sushi--Qmb7W1zoseXA285jUeAXC9dWUjPeTgHoMk1XQWeiy24QZQ,2020-08-31 18:33:14+00:00,Add timelock for Sushi rewards,"As of right now, the incentives for providing liquidity to the pools do not guarantee that the liquidity will permanently migrate to Sushi Swap. To ensure the longlasting success of Sushi Swap, I propose that rewards be locked until one week of trading has been available. This way, the liquidity for traders is guaranteed on day 1, no major dump when liquidity mining cools off and sushi rewards go to the long term believers. Sushi can then demonstrate its ability to be the go-to AMM and the incentives for holding Sushi become much stronger. Vote yes for a timelock on rewards. "
9,sushi,sushi--QmddQ3RDFfq8VJk3o4bwfhUCU2LdfaLbd93AfVMcpiKuSw,2020-08-31 20:13:57+00:00,SIP-5: Add DIA LP Pool to SushiSwap,"SIP-5: Add DIA LP Pool to SushiSwap
Active

Should DIA LP pool be added for farming and liquidity migration on SushiSwap? 

If you are not sure what to vote. Come discuss in our #governance discord channel - https://discord.gg/uSMaX2x

Once the vote is done, Chef Nomi will take the vote's results and implement the change by invoking MasterChef ""add"" function through the Timelock contract.


Chef Nomi trusts you guys, so please vote responsibly and reasonably.

As a reminder, voting opens for 24 hours. Voting power is determined by SUSHI-ETH LP staked in the MasterChef contract at ~7-8 hours (2000 blocks) after the proposal is proposed. Once approved, Chef Nomi will be implementing the change through the Timelock contract. Changes submitted by Chef Nomi are always subjected to a 48-hour time delay."
